,A,B,C,D,E,R
A,0.0,185.0,219.5,256.0,246.0,615.0
B,164.0,0.0,183.0,234.0,213.0,614.0
C,208.5,164.0,0.0,176.0,190.0,548.5
D,240.0,208.0,179.0,0.0,196.0,502.0
E,265.0,211.5,229.0,227.5,0.0,513.5
R,668.5,558.0,534.0,506.0,544.5,0.0
