,"('A', 'R')","('B', 'R')","('C', 'R')","('D', 'R')","('E', 'R')","('R', 'A')","('R', 'B')","('R', 'C')","('R', 'D')","('R', 'E')"
0,634.0,649.25,613.0,633.0,497.75,664.2,557.6666666666666,542.0,501.0,858.3333333333334
1,1098.8,3088.5,721.8333333333334,666.0,1050.5,863.0,935.0,580.5,501.0,539.5
2,730.1666666666666,677.75,1094.3333333333333,570.0,684.0,738.0,581.3333333333334,559.1666666666666,550.0,516.3333333333334
3,674.0,756.0,942.625,624.0,593.75,843.0,564.0,961.7142857142857,621.0,532.2
4,643.75,667.0,893.3333333333334,624.0,568.0,621.0,563.25,583.3333333333334,462.0,496.3333333333333
5,635.5714285714286,667.0,909.0,624.0,535.8333333333334,634.0,489.0,511.5,466.0,466.5
6,579.1666666666666,622.0,547.5555555555555,478.0,483.61538461538464,623.1428571428571,540.0,738.2,484.0,487.25
7,586.0,595.25,543.375,478.0,490.1666666666667,629.4444444444445,512.8571428571429,501.7,449.0,475.4
8,659.6,582.75,506.3,479.5,488.5,580.0,517.4444444444445,489.22222222222223,493.0,815.3
9,579.4,580.5,540.7777777777778,523.75,473.5,622.4444444444445,529.7,510.8333333333333,950.75,470.57142857142856
10,609.0,585.1666666666666,516.625,488.4,502.44444444444446,634.0,523.7777777777778,502.0,459.3333333333333,738.1111111111111
11,573.0,590.0,541.5454545454545,523.0,466.6363636363636,602.0,752.4285714285714,500.2857142857143,433.0,475.57142857142856
12,581.2222222222222,589.5,514.375,458.5,494.25,622.0,510.42857142857144,515.2727272727273,490.5,479.4
13,1086.8,606.2,535.125,470.6666666666667,463.6,603.3333333333334,503.4,505.4,519.0,477.3333333333333
14,575.8888888888889,564.5,514.0909090909091,554.0,460.6666666666667,626.7857142857143,528.125,488.1818181818182,519.0,452.2
15,607.3125,573.0,512.6666666666666,554.0,464.55555555555554,632.3846153846154,520.0,518.375,519.0,780.0
16,731.3529411764706,578.8181818181819,586.7777777777778,491.0,479.8,761.5833333333334,535.1428571428571,769.8888888888889,450.6666666666667,817.0909090909091
17,584.1428571428571,613.1111111111111,557.4545454545455,510.25,472.4,645.7142857142857,541.0,794.5555555555555,502.0,482.8
18,600.1,611.8571428571429,565.6666666666666,468.3333333333333,467.0,828.6,531.5,574.25,465.5,521.4444444444445
19,633.2,1009.375,545.5833333333334,468.3333333333333,497.6666666666667,661.5714285714286,552.5714285714286,842.7142857142857,465.5,519.0
20,613.25,605.8,564.9090909090909,596.0,497.44444444444446,748.5555555555555,570.875,907.3076923076923,477.0,536.1666666666666
21,623.1538461538462,587.4444444444445,543.4166666666666,600.0,479.1111111111111,682.4615384615385,552.7,1143.125,491.0,584.0
22,610.1,646.625,589.8888888888889,530.8,507.45454545454544,680.2857142857143,555.8181818181819,551.8571428571429,474.0,529.5
23,967.875,611.25,561.0,548.5,504.27272727272725,664.5,521.8571428571429,544.6666666666666,491.0,691.3636363636364
