,C,R,E,A,B,D
0,534.3333333333334,340.1818181818182,282.6666666666667,267.8,289.2857142857143,198.0
1,348.5,222.69230769230768,307.75,419.3333333333333,240.5,198.0
2,282.75,350.125,414.2,297.5,226.5,198.0
3,501.5,370.5833333333333,345.0,335.5,234.8,198.0
4,431.0,291.25,464.2,198.33333333333334,323.0,198.0
5,337.625,306.3333333333333,307.7,275.6,160.0,104.0
6,354.0,478.3333333333333,426.46153846153845,332.8,168.0,214.5
7,331.44444444444446,442.5531914893617,336.9,292.9,207.7,160.33333333333334
8,364.5,407.3220338983051,317.8,281.0,300.7,336.0
9,368.8181818181818,445.4230769230769,321.0,313.375,255.3846153846154,220.66666666666666
10,366.5,447.94642857142856,372.1666666666667,313.0,257.1666666666667,294.75
11,274.57142857142856,402.36842105263156,351.3636363636364,310.77777777777777,281.6666666666667,244.33333333333334
12,358.2857142857143,553.574074074074,338.0,303.75,261.94444444444446,84.0
13,379.8888888888889,494.7551020408163,368.6666666666667,354.27272727272725,259.1875,230.0
14,385.09090909090907,554.55,327.8,304.42857142857144,186.4,203.0
15,379.3333333333333,417.219512195122,477.0,286.2857142857143,271.57142857142856,419.5
16,401.75,621.28125,321.625,337.3333333333333,271.22222222222223,168.0
17,409.6666666666667,479.05555555555554,358.1818181818182,330.75,305.54545454545456,168.0
18,404.5,553.8205128205128,412.125,335.6666666666667,252.2,474.5
19,377.125,512.3095238095239,394.4,352.8,319.7,336.0
20,390.0,452.125,372.2142857142857,400.25,262.2,343.75
21,409.9,453.66,353.8,340.8181818181818,264.5833333333333,324.0
22,424.6666666666667,426.44444444444446,418.5,361.45454545454544,264.55555555555554,299.0
23,416.8,394.3888888888889,334.77777777777777,357.25,287.42857142857144,209.0
