,"('A', 'R')","('B', 'R')","('C', 'R')","('D', 'R')","('E', 'R')","('R', 'A')","('R', 'B')","('R', 'C')","('R', 'D')","('R', 'E')"
0,713.0,672.1666666666666,1475.6666666666667,680.0,496.0,696.8,564.0,511.5,595.0,533.75
1,640.2,708.5,663.0,680.0,1738.75,1559.0,921.2,620.0,595.0,573.25
2,645.8333333333334,708.5,791.75,680.0,560.5,637.0,504.0,692.3333333333334,595.0,524.5
3,741.4,708.5,1185.6666666666667,680.0,508.6666666666667,578.0,575.6666666666666,531.25,595.0,533.3333333333334
4,601.5,2016.5,793.6666666666666,680.0,619.0,722.0,575.6666666666666,831.0,595.0,497.2
5,811.0,613.5,863.3333333333334,680.0,512.8,1626.25,547.0,502.2,433.0,962.8
6,637.5555555555555,562.3333333333334,649.4,529.0,590.5384615384615,627.125,489.4,474.5,492.0,499.0
7,618.0,635.0,555.7,473.3333333333333,502.1,869.0,525.875,501.3333333333333,416.6666666666667,458.7142857142857
8,800.0769230769231,564.6,511.09090909090907,486.3333333333333,535.5384615384615,622.1,515.625,493.3636363636364,448.0,473.52941176470586
9,569.375,574.6,562.4444444444445,472.0,917.8181818181819,621.3333333333334,661.0909090909091,513.0909090909091,416.0,471.875
10,563.9,578.6923076923077,530.9285714285714,489.75,436.5833333333333,587.5,518.0,491.75,457.6666666666667,679.3333333333334
11,571.2352941176471,579.7777777777778,499.42857142857144,471.6666666666667,460.9,599.6428571428571,683.5625,476.8,450.3333333333333,667.625
12,553.0,580.75,531.5,553.0,649.1538461538462,604.3333333333334,511.2857142857143,502.6666666666667,2631.0,614.5384615384615
13,812.2,632.25,577.3333333333334,530.5,453.0,843.5,517.3333333333334,747.6666666666666,477.6,461.85714285714283
14,588.8571428571429,587.5,507.8181818181818,1908.5,483.5,611.4285714285714,527.5,502.9166666666667,491.0,471.5
15,612.5714285714286,572.8571428571429,498.44444444444446,478.5,438.25,643.5,512.9230769230769,508.6,457.0,497.5
16,549.4,589.0,508.0,506.5,472.0,1151.4,824.4,862.8,478.0,471.5
17,602.375,611.8888888888889,585.8,506.5,486.6363636363636,632.25,552.5714285714286,551.6666666666666,594.0,519.8
18,601.5555555555555,582.9,565.2,519.0,492.5,671.5,554.5,656.6666666666666,482.5,497.85714285714283
19,620.1,593.6666666666666,554.0,524.0,475.77777777777777,667.0,560.5714285714286,555.0,495.0,1477.5
20,597.4285714285714,581.9,578.75,1158.0,703.6666666666666,1000.8,823.3636363636364,549.4,507.6666666666667,743.8181818181819
21,640.4444444444445,575.3,559.2222222222222,505.0,482.0,878.7,749.4166666666666,795.1,497.5,522.6
22,609.6666666666666,619.25,571.3076923076923,528.0,492.22222222222223,1277.4166666666667,566.375,571.2,497.5,530.0
23,606.2727272727273,1344.75,588.75,470.0,502.125,971.1428571428571,595.0,552.8333333333334,462.0,543.4
