,A,B,C,D,E,R
A,0.0,121.20454545454545,155.875,183.79166666666666,191.6875,392.22727272727275
B,147.29166666666666,0.0,124.57692307692308,232.26923076923077,207.47916666666666,470.29347826086956
C,197.525,126.8409090909091,0.0,161.04545454545453,246.6875,422.78409090909093
D,196.35416666666666,154.5,132.79166666666666,0.0,184.5,446.96590909090907
E,216.775,165.35416666666666,223.4318181818182,127.11363636363636,0.0,336.37
R,525.4431818181819,447.14772727272725,493.22727272727275,414.28409090909093,422.61,0.0
