,A,B,C,D,E,R
0,310.55263157894734,326.8235294117647,404.7027027027027,279.1,362.12068965517244,428.4198113207547
1,325.1764705882353,296.325,378.25,234.63636363636363,408.9714285714286,331.97452229299364
2,289.9024390243902,303.55102040816325,393.61764705882354,304.5,400.8,330.8
3,324.06060606060606,352.02941176470586,384.5806451612903,749.0,490.76190476190476,360.70873786407765
4,285.1290322580645,228.78571428571428,357.54545454545456,153.75,406.61538461538464,304.234693877551
5,266.1020408163265,210.0,337.0508474576271,216.55555555555554,364.7843137254902,374.01307189542484
6,303.7,220.0,356.95348837209303,212.92307692307693,366.77777777777777,426.744769874477
7,300.1470588235294,243.8,342.984375,213.35714285714286,345.1320754716981,438.76973684210526
8,299.7083333333333,267.8688524590164,355.06060606060606,296.6,325.64935064935065,444.45705521472394
9,303.13235294117646,257.49333333333334,372.45714285714286,279.7741935483871,353.65909090909093,443.31518624641836
10,342.4605263157895,239.41666666666666,351.0882352941176,259.3421052631579,334.3541666666667,441.3454545454546
11,306.44444444444446,272.5125,334.1830985915493,237.13636363636363,344.3181818181818,447.61383285302594
12,289.7105263157895,257.75324675324674,346.4769230769231,273.21875,357.7916666666667,474.4867256637168
13,325.92063492063494,271.67123287671234,396.2413793103448,245.79166666666666,378.4533333333333,457.82716049382714
14,315.69736842105266,270.6181818181818,386.38666666666666,256.9230769230769,367.2063492063492,469.873417721519
15,306.4788732394366,257.7792207792208,372.94871794871796,333.8888888888889,359.9866666666667,407.88023952095807
16,325.9861111111111,267.95081967213116,374.1587301587302,293.6666666666667,344.23943661971833,458.0851735015773
17,347.0810810810811,254.15277777777777,405.758064516129,278.5833333333333,376.7307692307692,440.1914191419142
18,326.6764705882353,279.28125,400.59183673469386,271.1666666666667,380.94117647058823,452.34954407294833
19,351.5890410958904,284.2931034482759,420.3157894736842,307.9166666666667,366.74285714285713,451.7230215827338
20,335.9310344827586,265.98571428571427,371.07936507936506,294.6666666666667,388.42622950819674,420.8033898305085
21,334.22535211267603,267.19117647058823,375.13698630136986,279.6666666666667,368.40579710144925,438.4166666666667
22,351.97333333333336,288.8157894736842,425.0943396226415,339.7307692307692,397.64102564102564,415.06497175141243
23,343.3921568627451,318.5192307692308,456.9756097560976,352.8,400.0566037735849,403.3755656108597
