,A,B,C,D,E,R
A,0.0,120.90625,157.9,166.765625,189.75,393.05555555555554
B,168.98333333333332,0.0,122.64285714285714,206.98076923076923,204.40625,481.69444444444446
C,192.2058823529412,132.03125,0.0,151.88235294117646,199.53125,421.98148148148147
D,228.88333333333333,163.78571428571428,133.515625,0.0,199.08823529411765,454.1607142857143
E,217.125,169.42857142857142,215.55357142857142,133.3235294117647,0.0,337.3306451612903
R,530.5535714285714,446.39814814814815,501.52777777777777,416.20535714285717,423.18548387096774,0.0
