,"('A', 'R')","('B', 'R')","('C', 'R')","('D', 'R')","('E', 'R')","('R', 'A')","('R', 'B')","('R', 'C')","('R', 'D')","('R', 'E')"
0,632.7142857142857,665.8333333333334,611.75,584.8,514.3333333333334,1144.8,574.0,639.25,1882.0,508.0
1,1220.6,669.0,705.5,584.8,576.0,694.0,605.5,1412.7142857142858,518.5,585.2
2,731.25,631.0,821.25,530.0,1049.6666666666667,664.0,576.4,562.75,518.5,806.875
3,680.0,605.0,1080.75,530.0,612.2222222222222,664.0,732.5,1190.75,518.5,532.25
4,660.0,646.0,886.4285714285714,530.0,561.0,722.2,720.25,807.0,518.5,848.5
5,656.6666666666666,609.0,819.6666666666666,530.0,522.4545454545455,623.0,574.0,566.8571428571429,472.5,544.5
6,632.2,608.375,868.8,505.0,522.25,999.5,538.8,922.6,2499.0,490.2
7,608.6,598.5,1003.6,505.0,1468.0,618.6666666666666,533.6,895.0,2499.0,963.0
8,572.2222222222222,538.625,535.3333333333334,480.5,498.77777777777777,604.0,490.1666666666667,655.0,472.0,459.7142857142857
9,610.1666666666666,674.8888888888889,530.0909090909091,545.8,495.0833333333333,621.7272727272727,738.7,513.6,457.25,491.42857142857144
10,562.0909090909091,587.0,512.0,464.55555555555554,479.3,866.25,742.1333333333333,547.875,461.6,668.8181818181819
11,534.4285714285714,578.5,514.6666666666666,539.3333333333334,485.0,592.8571428571429,814.1,493.14285714285717,500.25,1092.4285714285713
12,573.7,559.25,528.1,482.14285714285717,437.85714285714283,586.0,519.25,494.42857142857144,474.3333333333333,479.0
13,573.4285714285714,814.0,512.2727272727273,495.7142857142857,463.25,611.25,738.4166666666666,493.9166666666667,494.5,480.75
14,576.0,556.3,533.8333333333334,503.6666666666667,474.125,625.0,511.3333333333333,518.8461538461538,490.5,684.0
15,588.2307692307693,615.0,553.625,480.0,703.75,876.0,550.25,497.6,492.0,491.0
16,576.5,567.4444444444445,537.4444444444445,787.6666666666666,481.72727272727275,637.375,514.0,515.1428571428571,455.0,496.375
17,577.5,616.9285714285714,537.0,676.0,484.6666666666667,1040.7,543.1111111111111,530.0909090909091,476.0,652.875
18,620.0,605.3,566.2,676.0,486.8181818181818,693.1428571428571,564.6666666666666,548.6,476.0,525.8888888888889
19,614.0,623.4285714285714,584.5555555555555,523.6,510.3636363636364,976.8571428571429,589.6666666666666,954.4,502.0,553.5
20,638.4166666666666,654.4285714285714,537.0,523.6,507.57142857142856,682.4545454545455,1078.4444444444443,561.0,477.0,523.0
21,602.3333333333334,613.0,580.9166666666666,535.0,496.0,681.7142857142857,568.5,578.625,922.5,543.25
22,614.7272727272727,802.3636363636364,539.7142857142857,530.0909090909091,511.92857142857144,976.7777777777778,549.3333333333334,533.4444444444445,537.8333333333334,615.1666666666666
23,624.0,633.1666666666666,572.1428571428571,530.0909090909091,480.6666666666667,1033.3,522.2222222222222,569.0909090909091,537.8333333333334,1139.4444444444443
