,A,B,C,D,E,R
A,0.0,0.3136839050135633,0.3683119685236527,0.39779269500439035,0.4407518037343813,2.368492123188138
B,0.31841973120198686,0.0,0.27917545095859486,0.3821440291800475,0.4247429988451268,3.5250720416375785
C,0.3927797744894943,0.32960252058271705,0.0,0.2794697138095072,0.42972073562752644,2.6975888635514504
D,0.39906265762054444,0.3233291188566432,0.27157231415172023,0.0,0.3813383959190704,3.1285694414410976
E,0.46474748124714715,0.4217616996892621,0.412517164739112,0.279527937027718,0.0,1.8783647787954556
R,3.2098957999351776,3.4164293004771285,3.547280179476327,2.7452063236217015,2.3536658182217103,0.0
