,C,R,E,A,B,D
0,381.45454545454544,387.0408163265306,390.6875,333.72727272727275,247.375,328.0
1,419.8181818181818,453.2,519.3333333333334,347.8,340.6,209.33333333333334
2,504.0,287.57142857142856,532.0,317.2857142857143,342.44444444444446,515.0
3,404.0,378.2173913043478,582.0,311.7142857142857,329.625,515.0
4,362.1818181818182,386.75,496.5,317.0,234.5,221.0
5,278.55555555555554,331.0,495.875,280.0,173.4,236.0
6,431.3333333333333,397.8529411764706,396.8333333333333,339.9,186.36363636363637,312.0
7,350.0,413.1333333333333,339.6,337.875,204.16666666666666,312.0
8,416.5833333333333,476.77777777777777,308.05555555555554,322.0,246.16666666666666,384.75
9,421.54545454545456,471.962962962963,388.9230769230769,367.875,240.4,281.5
10,285.45454545454544,493.741935483871,366.2307692307692,304.55555555555554,239.6,350.57142857142856
11,372.5,492.5,356.0,324.6,348.0,167.66666666666666
12,371.375,461.1111111111111,362.5833333333333,333.5,274.44444444444446,291.7142857142857
13,383.25,445.7959183673469,403.8181818181818,307.42857142857144,309.0,216.5
14,362.25,426.2093023255814,402.3,274.2307692307692,245.375,288.6666666666667
15,448.9166666666667,470.9130434782609,374.25,296.42857142857144,270.75,288.0
16,415.625,402.8888888888889,413.2857142857143,345.5,261.3333333333333,301.4
17,481.7142857142857,430.775,381.5,380.875,301.4,298.0
18,465.8333333333333,441.9433962264151,428.5,363.15384615384613,310.46153846153845,305.0
19,625.5,498.9795918367347,434.3333333333333,351.0,249.42857142857142,331.5
20,466.4,487.12,349.5,326.0,374.0,372.0
21,454.6,425.6666666666667,358.6,355.2857142857143,231.42857142857142,250.6
22,224.0,385.9574468085106,374.29411764705884,388.4166666666667,319.0,341.6
23,508.57142857142856,479.47222222222223,392.6666666666667,260.0,236.28571428571428,389.6666666666667
