,C,R,E,A,B,D
0,73.5,396.25,300.5,333.0,298.25,381.0
1,401.3333333333333,322.7692307692308,312.0,284.6666666666667,286.14285714285717,62.0
2,525.0,291.92857142857144,375.3333333333333,313.25,248.25,62.0
3,307.6666666666667,486.3636363636364,458.8333333333333,386.4,349.6666666666667,62.0
4,206.5,250.22222222222223,506.5,215.5,112.2,62.0
5,384.0,465.93333333333334,334.25,205.66666666666666,137.5,62.0
6,498.75,433.2857142857143,309.0769230769231,245.375,396.25,219.0
7,307.9,410.3695652173913,308.5,269.3,256.6666666666667,211.33333333333334
8,302.125,497.1794871794872,309.1666666666667,323.625,218.88888888888889,211.33333333333334
9,360.0,381.44444444444446,330.42857142857144,329.9,263.27272727272725,257.1666666666667
10,340.3333333333333,451.66,302.2,313.6,236.8,164.8
11,309.6363636363636,468.18367346938777,381.7142857142857,314.6363636363636,269.61538461538464,246.33333333333334
12,307.1,566.3658536585366,294.2857142857143,285.85714285714283,253.63636363636363,228.16666666666666
13,404.4,419.125,296.375,287.5,265.27272727272725,214.66666666666666
14,324.5,410.83720930232556,330.25,289.8888888888889,320.375,318.6666666666667
15,344.9,410.7169811320755,354.45454545454544,281.0,214.27272727272728,355.0
16,402.125,482.15384615384613,318.625,292.1666666666667,278.375,303.0
17,405.5,407.93333333333334,419.09090909090907,338.77777777777777,224.93333333333334,280.0
18,390.1666666666667,437.25531914893617,368.6666666666667,331.75,239.63636363636363,232.66666666666666
19,426.0,424.25,328.0769230769231,392.6666666666667,332.375,207.0
20,318.7,337.5681818181818,337.0,253.83333333333334,286.0,269.5
21,359.09090909090907,408.5217391304348,344.625,315.27272727272725,274.0,244.16666666666666
22,476.55555555555554,413.8723404255319,414.625,293.4,238.54545454545453,452.0
23,417.0,491.64285714285717,413.0,332.44444444444446,282.5,205.0
