,A,B,C,D,E,R
A,0.0,0.9973179310593752,1.3684486672786664,1.3718520198075002,2.0498454521825002,4.65292842317731
B,0.7906357743786667,0.0,1.2063238895264288,1.2237629397715386,1.883626767898125,4.611808762727133
C,1.276567609678235,1.2636713287075,0.0,0.8060918053676471,1.395299066135625,4.079135083680769
D,1.5545534242519998,1.6104307440307142,1.0269806291718748,0.0,1.7880056523582353,4.410959820637102
E,1.7776216520118748,1.8528453245878571,1.3450622748971426,1.2902183995235295,0.0,4.3156434211478665
R,4.65292842317731,4.611808762727133,4.079135083680769,4.410959820637102,4.3156434211478665,0.0
