,"('A', 'R')","('B', 'R')","('C', 'R')","('D', 'R')","('E', 'R')","('R', 'A')","('R', 'B')","('R', 'C')","('R', 'D')","('R', 'E')"
0,612.3333333333334,626.6666666666666,852.5,564.0,513.3571428571429,1008.0,563.2,601.3,559.5,536.1
1,1078.3333333333333,668.2222222222222,828.6363636363636,564.0,931.5,677.0,938.1428571428571,811.4285714285714,469.5,516.0
2,649.4,691.0,708.0,742.0,571.5714285714286,645.0,891.5,678.8333333333334,677.0,516.2
3,616.8,722.0,975.6666666666666,742.0,599.25,645.0,582.5,993.4,677.0,508.8
4,690.5,722.0,946.8888888888889,742.0,547.25,814.0,2119.0,502.75,530.5,497.8333333333333
5,706.9,696.0,816.375,619.0,547.8888888888889,1184.75,522.5,843.875,530.5,490.85714285714283
6,672.0,625.625,592.75,528.0,540.6666666666666,1250.857142857143,855.4,726.3,530.5,855.0
7,620.25,613.6666666666666,572.9285714285714,528.0,483.1111111111111,647.8571428571429,515.4,651.0909090909091,416.0,496.875
8,572.5714285714286,1052.5,758.0,542.6666666666666,663.0588235294117,619.5,511.0,516.5,463.3333333333333,598.1875
9,592.0,600.0,552.3333333333334,520.0,468.2,604.2857142857143,520.4444444444445,487.4166666666667,512.25,732.4666666666667
10,582.6666666666666,573.2857142857143,528.2727272727273,507.125,470.3,611.625,669.2142857142857,1040.25,482.6666666666667,472.6
11,561.2,596.625,511.8888888888889,530.3333333333334,445.57142857142856,597.6,725.0,508.0,468.3333333333333,1043.2
12,584.9090909090909,561.5,538.8571428571429,494.25,455.25,631.5,502.8333333333333,519.6,466.3333333333333,453.3333333333333
13,555.0,573.25,507.77777777777777,690.5,453.4,593.7692307692307,852.3333333333334,1051.6,476.5,469.125
14,576.8333333333334,548.6666666666666,524.0833333333334,512.0,451.6,633.5454545454545,911.4285714285714,518.8,479.0,487.625
15,578.5,561.1111111111111,533.5555555555555,485.0,514.25,684.0,518.8888888888889,532.6666666666666,464.5,503.8333333333333
16,572.375,565.0,539.9,1026.6,908.8333333333334,818.8181818181819,525.4,528.6666666666666,440.25,512.6
17,598.2666666666667,593.5555555555555,527.3333333333334,1026.6,492.9166666666667,845.8181818181819,515.6666666666666,776.5,457.0,509.6666666666667
18,645.6153846153846,641.1333333333333,783.125,524.5,526.6,667.2,567.0833333333334,646.5,524.0,529.1428571428571
19,592.8,580.8,590.2,469.0,511.3333333333333,656.5555555555555,1109.125,601.2857142857143,501.0,602.5
20,609.5555555555555,643.25,648.0,537.5,492.5,694.0,546.0,639.5,525.3333333333334,1597.5
21,619.7142857142857,614.8,603.6,564.8,551.0,1079.4,946.5,624.0,575.25,1619.0
22,613.0,623.5384615384615,549.0,558.6,660.1333333333333,673.8571428571429,610.3333333333334,706.3333333333334,563.5,667.9375
23,653.5,566.0,572.3333333333334,576.3333333333334,504.0,770.0,546.0,596.2,562.0,742.3
