,C,R,E,A,B,D
0,365.6666666666667,288.0,283.85714285714283,334.8333333333333,272.14285714285717,210.0
1,352.6666666666667,294.83870967741933,418.2857142857143,362.0,275.75,312.0
2,319.0,336.3448275862069,392.45454545454544,257.0,357.0,312.0
3,223.0,384.6,546.6,327.6666666666667,531.0,312.0
4,290.5,299.875,272.0,270.3333333333333,170.66666666666666,312.0
5,285.375,298.875,319.8333333333333,241.28571428571428,161.8,173.0
6,321.9,466.52941176470586,398.4166666666667,275.6,129.0,280.0
7,300.2857142857143,418.6,289.42857142857144,292.0625,205.6,231.0
8,349.4166666666667,421.468085106383,271.0,287.8333333333333,250.2,115.0
9,336.5,463.26,324.57142857142856,240.0,245.5,249.8
10,338.8125,412.35,289.04347826086956,299.8181818181818,287.42857142857144,227.33333333333334
11,361.75,423.81632653061223,291.88235294117646,228.77777777777777,223.2,216.66666666666666
12,320.44444444444446,382.7090909090909,353.09090909090907,286.46666666666664,232.0,373.5
13,430.625,424.7450980392157,406.3529411764706,281.25,251.07142857142858,154.0
14,493.85714285714283,468.63829787234044,371.46666666666664,353.6,308.125,200.0
15,320.8,351.17543859649123,330.25,288.09090909090907,284.54545454545456,397.0
16,358.8,413.7037037037037,349.6,358.0,333.8333333333333,286.0
17,377.54545454545456,443.14285714285717,333.53333333333336,284.14285714285717,203.75,404.0
18,374.8888888888889,456.9795918367347,383.5,263.0833333333333,253.4,143.0
19,402.6666666666667,393.5405405405405,340.125,339.73333333333335,239.9,198.0
20,327.15384615384613,412.0,427.6666666666667,313.0,223.9090909090909,217.66666666666666
21,385.6923076923077,450.2156862745098,326.2142857142857,301.0,281.7142857142857,342.0
22,436.875,357.8,397.72727272727275,382.61538461538464,300.55555555555554,331.0
23,374.8333333333333,320.3142857142857,398.5,432.375,327.5,226.0
