,C,R,E,A,B,D
0,425.0,303.2142857142857,298.0,265.5,367.85714285714283,215.0
1,320.8333333333333,238.57142857142858,364.25,250.0,274.0,261.3333333333333
2,401.8,376.72727272727275,382.25,306.2,287.3333333333333,237.0
3,404.0,257.64285714285717,514.0,191.0,538.0,237.0
4,324.75,294.67857142857144,286.0,345.3636363636364,259.85714285714283,237.0
5,276.8181818181818,519.84,327.90909090909093,235.66666666666666,246.75,169.5
6,323.5,435.25925925925924,301.5,241.25,220.88888888888889,227.0
7,421.2,504.5217391304348,391.75,298.1666666666667,236.83333333333334,227.0
8,334.2857142857143,400.8421052631579,350.375,310.1111111111111,246.5,261.42857142857144
9,388.7692307692308,513.7254901960785,330.61538461538464,248.36363636363637,257.4166666666667,265.25
10,364.3333333333333,430.7936507936508,401.1,320.27272727272725,207.73333333333332,216.66666666666666
11,345.22222222222223,447.8139534883721,281.14285714285717,307.6,276.1111111111111,237.33333333333334
12,317.6666666666667,442.03846153846155,394.625,233.0,264.9166666666667,299.3333333333333
13,436.8181818181818,516.5849056603773,383.0,349.42857142857144,272.3636363636364,243.16666666666666
14,425.8125,499.69354838709677,396.2,330.53333333333336,235.6,215.66666666666666
15,346.875,404.5348837209302,363.8888888888889,306.15384615384613,229.88888888888889,236.5
16,405.5,400.74468085106383,362.5,333.55555555555554,207.7,267.25
17,400.4,467.3333333333333,390.5,401.8333333333333,247.64285714285714,64.0
18,414.6666666666667,444.1276595744681,412.8,386.27272727272725,311.9,256.0
19,421.55555555555554,478.94736842105266,392.2857142857143,397.625,286.42857142857144,332.75
20,465.0,463.4736842105263,491.42857142857144,351.75,253.8,332.75
21,350.2307692307692,384.4418604651163,432.4,408.125,267.3076923076923,375.3333333333333
22,541.75,456.5,448.35714285714283,340.2307692307692,310.27272727272725,293.5
23,489.38461538461536,418.46153846153845,388.5,310.6363636363636,338.5,293.5
