,"('A', 'R')","('B', 'R')","('C', 'R')","('D', 'R')","('E', 'R')","('R', 'A')","('R', 'B')","('R', 'C')","('R', 'D')","('R', 'E')"
0,612.0,660.2857142857143,540.8,535.0,493.3333333333333,690.4285714285714,848.8571428571429,527.6666666666666,531.5,1600.0
1,993.4285714285714,714.25,1082.3333333333333,631.0,579.1428571428571,678.6,579.5,575.1428571428571,531.5,1116.0
2,668.5714285714286,628.3333333333334,963.0,631.0,586.6666666666666,709.0,563.4,547.2,531.5,512.875
3,645.0,589.0,581.0,631.0,471.5,709.0,530.0,530.0,531.5,1010.0
4,706.5,589.0,1580.5,631.0,618.3333333333334,709.0,544.6666666666666,477.0,531.5,466.0
5,623.0,910.0,904.875,631.0,533.2857142857143,669.0,509.0,519.8571428571429,454.5,919.0
6,662.4,636.3333333333334,693.0,824.0,533.4545454545455,615.3333333333334,573.0,817.375,519.3333333333334,517.9
7,611.0714285714286,629.3,541.0,599.75,541.625,766.8666666666667,681.0833333333334,503.0,478.25,486.57142857142856
8,822.0833333333334,552.8,519.8333333333334,598.0,885.25,791.3,504.57142857142856,489.45454545454544,443.6666666666667,462.44444444444446
9,590.2222222222222,608.5,527.3636363636364,471.0,487.38461538461536,605.0,507.09090909090907,505.15384615384613,474.3333333333333,471.6666666666667
10,582.0,571.4285714285714,539.6666666666666,446.0,470.4347826086956,621.9,548.6666666666666,509.38461538461536,480.0,507.0
11,566.6666666666666,579.5555555555555,545.3,480.0,440.46153846153845,1015.5454545454545,526.0,722.75,493.0,473.25
12,621.8,559.375,762.0,482.3333333333333,600.4285714285714,615.0,505.0,494.375,447.2,490.0
13,611.75,574.0833333333334,516.8571428571429,470.5,470.0625,594.8,587.5,494.0,447.2,491.4166666666667
14,568.8571428571429,571.4444444444445,506.625,461.0,459.8125,911.3333333333334,516.5555555555555,496.0,1568.0,481.84615384615387
15,598.2307692307693,592.9090909090909,534.8333333333334,472.5,479.1666666666667,662.0,524.8333333333334,520.0833333333334,432.0,488.6875
16,574.1428571428571,573.6666666666666,530.8333333333334,475.0,707.1818181818181,909.1818181818181,891.875,990.8461538461538,432.0,680.4444444444445
17,585.6428571428571,578.5,538.7272727272727,475.0,476.15384615384613,1003.4615384615385,518.8571428571429,511.77777777777777,479.0,485.1666666666667
18,622.0,581.0,562.1111111111111,534.0,486.44444444444446,645.6666666666666,565.0,579.0,453.0,492.5
19,625.4166666666666,627.4,547.1666666666666,534.0,508.1111111111111,656.2857142857143,539.7142857142857,551.0,524.0,524.0
20,629.3636363636364,582.25,751.7692307692307,503.25,504.6,857.1818181818181,759.9230769230769,728.3333333333334,503.3333333333333,533.0
21,612.4545454545455,629.1111111111111,547.8181818181819,498.0,780.7333333333333,786.4,561.75,545.3636363636364,503.3333333333333,563.4166666666666
22,633.2857142857143,618.375,609.5555555555555,411.0,542.1111111111111,672.4545454545455,704.7857142857143,1014.0,451.0,728.7
23,998.8571428571429,957.2222222222222,977.2857142857143,652.0,727.4444444444445,661.75,868.8333333333334,532.3333333333334,451.0,519.2857142857143
