,"('A', 'R')","('B', 'R')","('C', 'R')","('D', 'R')","('E', 'R')","('R', 'A')","('R', 'B')","('R', 'C')","('R', 'D')","('R', 'E')"
0,699.3333333333334,1080.8333333333333,1399.3333333333333,537.3333333333334,584.0,689.6666666666666,752.5,819.0,2423.0,588.6666666666666
1,661.5,709.0,588.5,537.3333333333334,551.6,653.0,576.5,1082.75,2423.0,542.8571428571429
2,791.5,709.0,835.8571428571429,537.3333333333334,570.2,749.0,808.8333333333334,583.4285714285714,534.0,1054.8
3,652.8333333333334,630.0,1080.0,537.3333333333334,582.5,749.0,1233.0,583.4285714285714,534.0,1153.0
4,652.8333333333334,630.0,954.0,537.3333333333334,581.0,701.0,544.0,626.4,495.0,530.0
5,659.0,597.2857142857143,723.4444444444445,581.5,487.8,1256.0,531.0,536.4,453.0,482.8333333333333
6,610.9,638.6363636363636,580.8333333333334,513.5,503.22222222222223,814.1818181818181,532.1428571428571,820.6666666666666,497.25,515.5
7,624.4166666666666,609.9166666666666,597.3333333333334,492.0,480.3,886.4545454545455,538.6,523.2,484.5,482.6666666666667
8,591.8571428571429,581.7777777777778,491.0,517.8,492.5,624.8666666666667,842.3333333333334,520.0,467.0,665.8
9,562.8181818181819,550.5555555555555,501.85714285714283,514.5,477.46153846153845,793.4545454545455,714.9,488.6,482.75,673.1
10,587.7692307692307,851.3333333333334,531.8888888888889,479.2,680.4285714285714,754.1666666666666,955.3076923076923,776.5555555555555,476.3333333333333,651.875
11,590.6363636363636,590.7,529.0833333333334,503.2,473.2857142857143,814.2727272727273,523.1111111111111,496.72727272727275,505.0,845.5
12,579.45,680.3333333333334,546.6,510.5,475.0,625.9333333333333,503.5,529.8333333333334,447.0,468.4
13,581.6666666666666,573.4,540.6,508.5,459.92857142857144,614.8181818181819,511.3333333333333,500.5,497.5,578.5555555555555
14,565.0,581.25,519.3,537.0,478.85714285714283,611.3333333333334,520.6,495.45454545454544,450.5,899.8
15,577.8,574.2857142857143,543.0833333333334,476.5,486.93333333333334,612.8888888888889,503.0,726.625,456.0,487.1875
16,581.0833333333334,795.1,535.2222222222222,481.0,496.8888888888889,653.3333333333334,749.0,520.375,488.0,710.6666666666666
17,584.0,606.8571428571429,544.5714285714286,504.0,480.8,642.4285714285714,851.5714285714286,757.8571428571429,500.0,982.0
18,1066.8333333333333,615.3333333333334,587.6,504.0,475.7692307692308,896.8571428571429,593.0,526.4,500.0,653.0
19,890.8888888888889,624.875,562.4,568.0,518.3333333333334,675.5,573.4,543.0,510.6666666666667,822.0
20,622.625,633.0,553.5714285714286,513.5,501.90909090909093,1079.857142857143,601.3333333333334,574.7142857142857,506.0,524.8571428571429
21,591.75,610.1,579.3,571.0,505.5,891.5,570.625,598.6,494.6666666666667,538.8181818181819
22,595.0909090909091,868.8181818181819,1064.3333333333333,485.0,533.0,705.5714285714286,570.6153846153846,545.25,510.5,556.3333333333334
23,635.0,629.5555555555555,562.0,513.0,501.5,725.75,568.8571428571429,566.5,555.0,536.0
