,A,B,C,D,E,R
A,0.0,1.0003103070827777,1.337042298578333,1.3968701524511766,1.9816445936252942,4.652928423177311
B,0.8297232755223529,0.0,1.2146275785489473,1.252173790409,1.9375766577116669,4.611808762727132
C,1.223743926881111,1.23391231809,0.0,0.8068175179606668,1.456140607600625,4.079135083680769
D,1.576681274056667,1.3014510943042108,0.9835959540763156,0.0,1.798379258447059,4.4109598206371015
E,1.7628837243594446,1.771884537656842,1.3985769412394735,1.2720154782222226,0.0,4.315643421147865
R,4.652928423177311,4.611808762727132,4.079135083680769,4.4109598206371015,4.315643421147865,0.0
