,A,B,C,D,E,R
A,0.0,0.9372712366230774,1.3362389774034613,1.3649140541092306,1.977976606872692,4.652928423177312
B,0.8465735709803704,0.0,1.2405749065003997,1.1951661080140004,1.8810523191052002,4.6118087627271285
C,1.2283395761753846,1.2992139363187996,0.0,0.8077969466021427,1.4652043248703703,4.079135083680769
D,1.4174383057503843,1.401615380022,1.0273284674795835,0.0,1.8366719621170835,4.410959820637098
E,1.7603037689537033,1.7871600254715383,1.257782400123704,1.2196004041212003,0.0,4.315643421147865
R,4.652928423177312,4.6118087627271285,4.079135083680769,4.410959820637097,4.315643421147865,0.0
