,C,R,E,A,B,D
0,347.0,396.741935483871,256.7142857142857,307.6666666666667,275.84615384615387,93.0
1,398.0,365.52,368.1666666666667,200.0,331.0,93.0
2,290.125,356.0,304.3333333333333,245.8,299.42857142857144,235.0
3,210.0,392.4166666666667,375.4,333.5,344.0,235.0
4,379.5,224.2,409.57142857142856,147.0,156.0,160.0
5,398.55555555555554,370.53333333333336,319.8,289.3333333333333,305.55555555555554,260.0
6,273.6666666666667,389.11764705882354,367.3333333333333,278.3333333333333,256.14285714285717,130.0
7,342.1,465.2181818181818,426.2,347.54545454545456,295.7692307692308,203.5
8,337.4,416.037037037037,365.44444444444446,296.76190476190476,289.77777777777777,301.8
9,380.8333333333333,394.8958333333333,425.0769230769231,311.3636363636364,273.55555555555554,318.8
10,359.4,429.94642857142856,351.2307692307692,425.94444444444446,224.66666666666666,258.75
11,376.75,493.2549019607843,397.125,334.09090909090907,251.55555555555554,249.4
12,361.1,451.6862745098039,369.0769230769231,267.11764705882354,308.6666666666667,228.0
13,321.6,461.3333333333333,374.9230769230769,349.8333333333333,292.5,296.3333333333333
14,385.0,467.7317073170732,366.875,306.1111111111111,267.75,265.0
15,412.5,427.7959183673469,343.25,307.3636363636364,279.44444444444446,277.5
16,344.22222222222223,502.1132075471698,337.38461538461536,286.72727272727275,267.3333333333333,416.0
17,358.125,446.2631578947368,386.1666666666667,353.75,285.6,298.0
18,366.5,420.7826086956522,345.45454545454544,330.6,272.6666666666667,228.0
19,367.53846153846155,430.0810810810811,326.3333333333333,308.6363636363636,244.875,320.0
20,331.375,379.59574468085106,380.5833333333333,324.0,273.09090909090907,294.0
21,369.0,454.69565217391306,395.2142857142857,373.25,282.90909090909093,354.0
22,320.8333333333333,424.2448979591837,427.7142857142857,363.90909090909093,286.54545454545456,456.0
23,399.25,417.1,440.0,304.5,361.6666666666667,384.6666666666667
