,"('A', 'R')","('B', 'R')","('C', 'R')","('D', 'R')","('E', 'R')","('R', 'A')","('R', 'B')","('R', 'C')","('R', 'D')","('R', 'E')"
0,782.8,690.3333333333334,588.0,424.0,494.2,631.0,632.25,1510.0,2040.0,557.1666666666666
1,782.8,948.6666666666666,614.3333333333334,481.0,580.5,631.0,635.0,529.0,2040.0,487.0
2,737.5,793.0,1297.0,481.0,621.0,631.0,642.2,1551.6666666666667,2040.0,589.2
3,608.6,1085.0,1100.0,481.0,685.8333333333334,631.0,548.6666666666666,548.0,2040.0,557.25
4,608.6,1085.0,1058.0,481.0,558.25,602.0,1260.0,548.0,2040.0,521.2
5,630.6,680.0,970.0,481.0,527.25,1304.0,3075.0,654.75,2040.0,507.5
6,642.4285714285714,656.6666666666666,738.0,525.0,504.5,593.6666666666666,571.25,503.3333333333333,485.0,476.2
7,596.0,575.5555555555555,546.4545454545455,491.6666666666667,464.85714285714283,617.4285714285714,613.7692307692307,545.4444444444445,458.5,483.85714285714283
8,568.2222222222222,592.8571428571429,498.75,491.6666666666667,483.4,597.4,492.6666666666667,477.3333333333333,498.0,459.57142857142856
9,560.125,531.1111111111111,494.8,467.5,480.92857142857144,577.4285714285714,501.5,462.3333333333333,428.2,503.0833333333333
10,567.3333333333334,553.5454545454545,510.25,1180.0,495.07142857142856,792.1818181818181,787.8,1103.8,822.6,622.0
11,606.2857142857143,875.2,503.1111111111111,486.0,598.5555555555555,597.2222222222222,508.0,645.5555555555555,442.0,533.1666666666666
12,578.4285714285714,573.5555555555555,803.9090909090909,473.6,487.2857142857143,582.4,508.8333333333333,492.0,451.0,453.75
13,568.3333333333334,803.6,526.3333333333334,507.0,482.42857142857144,625.375,517.5454545454545,995.9166666666666,507.5,470.25
14,577.1111111111111,863.4285714285714,554.5,502.0,493.0,596.5,546.8571428571429,818.5,450.0,845.0
15,665.1428571428571,562.6363636363636,568.7272727272727,506.125,488.7,601.4,498.75,561.4545454545455,469.6666666666667,481.0
16,590.8571428571429,593.875,554.375,479.3333333333333,450.57142857142856,833.25,518.2857142857143,532.0,469.6666666666667,472.0
17,619.5555555555555,611.7857142857143,527.8571428571429,548.0,494.1666666666667,856.3,555.5714285714286,524.6,511.5,548.2
18,649.375,648.9,886.0,516.5,515.2727272727273,1313.857142857143,558.6,547.4,502.0,575.5
19,631.2222222222222,626.2857142857143,503.6666666666667,516.5,490.61538461538464,670.0,965.8571428571429,531.1666666666666,574.5,529.3
20,660.3333333333334,634.5,570.2,531.75,521.6363636363636,1327.8333333333333,578.2222222222222,561.3333333333334,520.3333333333334,520.5
21,662.9090909090909,636.2857142857143,573.3,525.8333333333334,530.8571428571429,701.2,553.8,572.8888888888889,544.4,823.0
22,1196.6,609.2,650.1111111111111,481.0,524.125,742.3333333333334,723.6,912.4285714285714,596.0,560.2222222222222
23,635.7777777777778,1181.2,732.0,521.0,534.0,792.6666666666666,612.0,541.4,529.0,474.6666666666667
