,A,B,C,D,E,R
A,0.0,0.30609386409856876,0.3685333022600467,0.39804110446719204,0.45744354104840806,2.363607316473133
B,0.29756466212230104,0.0,0.27534736155160433,0.3852181666705184,0.43852915359780265,3.5931829445471153
C,0.41868846059883247,0.32084085914967314,0.0,0.27520992410855893,0.4833619480768154,2.779134031800767
D,0.3870327636660571,0.36603629532264365,0.289597915637717,0.0,0.3606072276017518,2.9626829006677697
E,0.4600997984071508,0.40881076894833374,0.42536444130068907,0.28751670329318224,0.0,1.8743776024708896
R,3.1663819303048215,3.41634247889389,3.2421860910168117,2.746053708327483,2.3549386645070083,0.0
