,A,B,C,D,E,R
A,0.0,0.28948851614485044,0.35950343049990313,0.3805397323079097,0.44389863913943045,2.3592560721738454
B,0.30466502261858147,0.0,0.2789737275086724,0.3463055258195167,0.4166820231838181,3.1783645192342243
C,0.37446876785817046,0.3299059272346378,0.0,0.27387908632611496,0.42970267026811215,2.54103459015677
D,0.3720877222208904,0.33267520649948146,0.280628117777454,0.0,0.3608372245574587,2.7618346959356774
E,0.4457345596267239,0.38935503787640796,0.3556209072675592,0.26981162618256216,0.0,1.8737863122546397
R,2.896459266726487,3.4013657557850645,2.8733859673175237,2.719210443925442,2.3479793953649684,0.0
