,A,B,C,D,E,R
A,0.0,117.13461538461539,149.56730769230768,161.28846153846155,186.46153846153845,391.5052083333333
B,130.7685185185185,0.0,123.96,153.01,184.78,416.0
C,153.69230769230768,131.57,0.0,125.92857142857143,171.97222222222223,386.5625
D,177.59615384615384,139.76,125.5,0.0,172.25,416.6648936170213
E,194.24074074074073,164.6346153846154,157.25,122.91,0.0,336.2638888888889
R,480.6510416666667,445.1875,437.1224489795918,410.234375,421.3611111111111,0.0
