,A,B,C,D,E,R
A,0.0,0.31054610468114546,0.37133786865906426,0.40023406330585853,0.45128931458321603,2.368598645452951
B,0.31899322267747626,0.0,0.2841635220300454,0.37582331328336926,0.42072771869953857,3.6802897387847677
C,0.3929407452821607,0.3364627382183488,0.0,0.28883160023610144,0.43308698359513353,2.773858149329132
D,0.4511760356219089,0.3788044538516689,0.28955717057397445,0.0,0.3759875849264263,3.0103731738871304
E,0.479182958616573,0.4161633464630561,0.4025081528093957,0.2970661637037833,0.0,1.8797306713362594
R,3.197177734454687,3.410615470014272,3.296748730820477,2.7587886899058023,2.3581454727191717,0.0
