,C,R,E,A,B,D
0,396.6,327.09090909090907,357.3333333333333,272.5,323.2,352.0
1,363.6666666666667,339.375,458.1666666666667,338.6,319.5,285.0
2,563.25,304.10526315789474,463.0,295.42857142857144,268.72727272727275,231.0
3,439.8333333333333,309.2857142857143,476.0,278.4,296.8,749.0
4,397.0,303.63157894736844,379.2,279.0,290.2,13.0
5,432.375,320.0,442.57142857142856,295.2857142857143,157.5,404.0
6,355.0,407.97222222222223,351.46153846153845,412.0,281.0,132.0
7,373.3333333333333,440.04761904761904,303.5,257.14285714285717,267.875,310.0
8,342.4,505.0869565217391,373.27272727272725,302.25,311.55555555555554,267.0
9,348.1,408.3333333333333,357.77777777777777,322.45454545454544,268.6,359.5
10,431.57142857142856,412.63157894736844,311.3,361.7142857142857,249.15384615384616,288.5
11,287.5,415.61538461538464,391.0,322.0,251.36363636363637,316.5
12,407.1111111111111,485.7560975609756,389.625,356.375,229.41666666666666,201.33333333333334
13,370.7142857142857,431.37142857142857,375.0,337.6,286.6666666666667,292.5
14,334.54545454545456,443.0243902439024,337.2857142857143,341.46153846153845,307.875,292.5
15,358.5833333333333,384.93333333333334,412.875,350.2142857142857,247.9090909090909,292.5
16,320.8888888888889,426.0,315.3636363636364,314.2,282.1,381.5
17,421.75,413.6170212765957,387.1818181818182,323.57142857142856,225.0,280.75
18,391.1818181818182,429.75,322.44444444444446,275.9,306.6666666666667,225.0
19,410.1666666666667,382.9189189189189,370.7,343.0,315.5,225.0
20,394.1666666666667,446.78723404255317,395.875,359.85714285714283,252.54545454545453,276.0
21,347.9166666666667,462.1666666666667,363.5,316.8666666666667,261.0,7.0
22,351.8888888888889,375.11764705882354,318.6363636363636,289.4,294.0,366.0
23,389.25,320.3783783783784,299.1666666666667,277.14285714285717,376.6666666666667,511.5
