,A,B,C,D,E,R
A,0.0,122.66666666666667,152.875,172.19117647058823,186.11764705882354,393.0378787878788
B,158.55882352941177,0.0,125.98684210526316,202.0875,196.56944444444446,461.3787878787879
C,180.73611111111111,131.02631578947367,0.0,134.43333333333334,184.859375,410.3787878787879
D,193.16666666666666,130.02631578947367,117.19736842105263,0.0,200.5735294117647,471.99242424242425
E,200.76388888888889,165.06578947368422,219.27631578947367,124.02777777777777,0.0,337.0855263157895
R,532.6640625,447.15909090909093,539.640625,414.15625,422.38157894736844,0.0
