,A,B,C,D,E,R
A,0.0,0.9982093513081819,1.3133773840433334,1.3912413840533338,2.0499412468783333,4.652928423177309
B,0.7793245438183333,0.0,1.1807884434338463,1.2238814782392309,1.9885756825366665,4.611808762727133
C,1.2723205023420001,1.2384387233836363,0.0,0.7858987431454545,1.4626094680675,4.079135083680769
D,1.4941911669516665,1.5426290279753847,1.0732780762158332,0.0,1.7445282391392307,4.410959820637102
E,1.713554185329,1.7671345924116668,1.4379846765581819,1.2521958773236364,0.0,4.315643421147867
R,4.652928423177309,4.611808762727133,4.079135083680769,4.410959820637102,4.315643421147867,0.0
