,node type,geo node,demand,dwell time
0,O,R,0,0
1,P,A,37.184859154929576,137.03907828282829
2,P,R,89.72359154929578,205.45256443486485
3,P,B,11.433098591549296,124.21249999999999
4,P,R,32.186619718309856,205.45256443486485
5,P,C,39.57394366197183,181.45399305555557
6,P,R,100.13204225352113,205.45256443486485
7,P,D,19.880281690140848,121.4375
8,P,R,31.330985915492956,205.45256443486485
9,P,E,99.64964788732395,167.54621018367823
10,P,R,114.49823943661971,205.45256443486485
11,D,R,-37.184859154929576,205.45256443486485
12,D,A,-89.72359154929578,137.03907828282829
13,D,R,-11.433098591549296,205.45256443486485
14,D,B,-32.186619718309856,124.21249999999999
15,D,R,-39.57394366197183,205.45256443486485
16,D,C,-100.13204225352113,181.45399305555557
17,D,R,-19.880281690140848,205.45256443486485
18,D,D,-31.330985915492956,121.4375
19,D,R,-99.64964788732395,205.45256443486485
20,D,E,-114.49823943661971,167.54621018367823
21,O,R,0,0

