,node type,geo node,demand,dwell time
0,O,R,0,0
1,P,A,103.47773757442648,83.0
2,P,R,36.238253572511184,81.5
3,P,B,56.9425497005024,65.75
4,P,R,26.0271597050316,81.5
5,P,C,96.99669041175173,87.875
6,P,R,31.52964589023653,81.5
7,P,D,51.530281828822964,56.5
8,P,R,26.197193407063565,81.5
9,P,E,180.50786038390729,88.625
10,P,R,43.217043272318584,81.5
11,D,R,-103.47773757442648,81.5
12,D,A,-36.238253572511184,83.0
13,D,R,-56.9425497005024,81.5
14,D,B,-26.0271597050316,65.75
15,D,R,-96.99669041175173,81.5
16,D,C,-31.52964589023653,87.875
17,D,R,-51.530281828822964,81.5
18,D,D,-26.197193407063565,56.5
19,D,R,-180.50786038390729,81.5
20,D,E,-43.217043272318584,88.625
21,O,R,0,0
